sample_id,physical_scenario_id,category,severity,truth_topology_id,truth_equivalence_set,truth_equivalence_member_count,truth_unique_under_observation,equivalence_evaluable,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,scientific_hash
stage4a7_1_pilot_0001,pilot_stage4a7_1_pilot_0001,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,480953de849b31ee865ee6c3a4d2c8f05ba0080eb08430a4702d3445d9916d13,bf72e2ae3e2313884da8f4ea137b41cb132f74ca85ae2000be7b48baaa25b348,bf72e2ae3e2313884da8f4ea137b41cb132f74ca85ae2000be7b48baaa25b348,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,pilot_stage4a7_1_pilot_0002,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,1ba163b9e2c9941643b7f5dfa938b4214b1767eb905afbc51f5f25ff5c4ec1fe,fb9f0f48a2a2ece75cf4bc5910a6c560e2731f64da3c54a5fcb6ea76b9510944,fb9f0f48a2a2ece75cf4bc5910a6c560e2731f64da3c54a5fcb6ea76b9510944,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0003,pilot_stage4a7_1_pilot_0003,symmetry_preserving_nominal,not_applicable,G001,"G001",1,1,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,245d0d5c6a81abf7114a980ac30ae0b9358611f5776a1832557e710a456e5eb2,245d0d5c6a81abf7114a980ac30ae0b9358611f5776a1832557e710a456e5eb2,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0004,pilot_stage4a7_1_pilot_0004,in_domain_interior,not_applicable,G002,"G002",1,1,1,in_domain,4a03b880c9ee9be72c80db4a2127cd62bdf0867b83d47fafc41fbad01aeeb7d6,792b6a1c9dded0fda81a823aa1bb866306033b0fac3bc2617461a13836006105,792b6a1c9dded0fda81a823aa1bb866306033b0fac3bc2617461a13836006105,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0005,pilot_stage4a7_1_pilot_0005,in_domain_interior,not_applicable,G002,"G002",1,1,1,in_domain,fa3366444ca2ee6ae2ebe4dcb1f53a7154bbc658570220c27ef503acc6b35d37,b024fc6942f6efd50e4c87537a8a175ce052969da4cbe9a466bb00dc297bc670,b024fc6942f6efd50e4c87537a8a175ce052969da4cbe9a466bb00dc297bc670,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,pilot_stage4a7_1_pilot_0006,symmetry_preserving_nominal,not_applicable,G002,"G002,G005",2,0,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,6e45ff27aa96f13d5b2864c8a83274229d10b3e513efce73b86824cd4f0d6711,6e45ff27aa96f13d5b2864c8a83274229d10b3e513efce73b86824cd4f0d6711,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0007,pilot_stage4a7_1_pilot_0007,in_domain_interior,not_applicable,G003,"G003",1,1,1,in_domain,17a2a5b44ffe4b634a024bb4ad2f014dcea96b99bbb0ec774cee5eb2ae48427b,a1c2b18d38f019c3de5dd090606f60652fe895b19cce7cd7a24c1bc09365bbf8,a1c2b18d38f019c3de5dd090606f60652fe895b19cce7cd7a24c1bc09365bbf8,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,pilot_stage4a7_1_pilot_0008,in_domain_interior,not_applicable,G003,"G003",1,1,1,in_domain,b22ff51fa5bc4badc89531ce486bc8e17983fba0c388552c0ef74fee9f547b16,c46410ccaa65bf27af0c865382b0bd7e0854ff4388520688a15fe63145714094,c46410ccaa65bf27af0c865382b0bd7e0854ff4388520688a15fe63145714094,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0009,pilot_stage4a7_1_pilot_0009,symmetry_preserving_nominal,not_applicable,G003,"G003",1,1,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,803e15e2bd73fb4664de410d61fa3d43a56a3e70604ef9cdccb749246482eb29,803e15e2bd73fb4664de410d61fa3d43a56a3e70604ef9cdccb749246482eb29,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0010,pilot_stage4a7_1_pilot_0010,in_domain_interior,not_applicable,G004,"G004",1,1,1,in_domain,6b0d335a5485c42595e909c94c76f4005a6b0eceab96b9f561be576985ceb637,0f16667ad561f02dc30f5461c48ff6b70f0f808d3152a1ccb0950b22416d9e38,0f16667ad561f02dc30f5461c48ff6b70f0f808d3152a1ccb0950b22416d9e38,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0011,pilot_stage4a7_1_pilot_0011,in_domain_interior,not_applicable,G004,"G004",1,1,1,in_domain,6500b03d8ca1cb85b89eff9b8a201f5d861dec65cfbbcb7e88e4a83af4b55865,dcdbf65eb724fae381c9e83c9e18a80da75c377dee7acadb40f73473a69f6b01,dcdbf65eb724fae381c9e83c9e18a80da75c377dee7acadb40f73473a69f6b01,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0012,pilot_stage4a7_1_pilot_0012,symmetry_preserving_nominal,not_applicable,G004,"G004,G007",2,0,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,224acf73dde194d5beb3be2ece13aed69e014e3eb2a0ce09907bdc762b6a6685,224acf73dde194d5beb3be2ece13aed69e014e3eb2a0ce09907bdc762b6a6685,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0013,pilot_stage4a7_1_pilot_0013,in_domain_interior,not_applicable,G005,"G005",1,1,1,in_domain,1e8d183009b59268cce94369259624124df0a7f2a0909b7609f302287d6d4266,d956452577dad933c4315916377c83736bec5382da9f7b4d93637c021d6bf0cc,d956452577dad933c4315916377c83736bec5382da9f7b4d93637c021d6bf0cc,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0014,pilot_stage4a7_1_pilot_0014,in_domain_interior,not_applicable,G005,"G005",1,1,1,in_domain,e5e716385ab3a54a6e5447aa79a9734b9f20e5b75fbf7f6230be9187284a0abd,ffb2332000e671ef28de0e7d0ca90ea779b713d831eb62bdd1b6ff99f57686d5,ffb2332000e671ef28de0e7d0ca90ea779b713d831eb62bdd1b6ff99f57686d5,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0015,pilot_stage4a7_1_pilot_0015,symmetry_preserving_nominal,not_applicable,G005,"G002,G005",2,0,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,d8b9946adf9a811dd179de2c0d5e769756e4213f6c3ba352517071142da22b64,d8b9946adf9a811dd179de2c0d5e769756e4213f6c3ba352517071142da22b64,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0016,pilot_stage4a7_1_pilot_0016,in_domain_interior,not_applicable,G006,"G006",1,1,1,in_domain,8b307595e35b4490ab0a00d7d9cc0dbc0dbf3d9dbc82b172cc26fa5aca474471,9f2b303fdffdae8bbf79c87d15e2c03a6ac3095c920507061e0a2987a84e8c48,9f2b303fdffdae8bbf79c87d15e2c03a6ac3095c920507061e0a2987a84e8c48,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0017,pilot_stage4a7_1_pilot_0017,in_domain_interior,not_applicable,G006,"G006",1,1,1,in_domain,abc727472f12ba751688412df9cdd0d58bcc10a584f4bba5e11f484b3422a6b9,4d27097a342d3568079dd2a2daad6a36d98e9e606c4e7073379c16b162880c09,4d27097a342d3568079dd2a2daad6a36d98e9e606c4e7073379c16b162880c09,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0018,pilot_stage4a7_1_pilot_0018,symmetry_preserving_nominal,not_applicable,G006,"G006",1,1,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,849a15b95176b4f218b110167994e7cd1b20ba6717dc9bf7a0031fedca6b5dd4,849a15b95176b4f218b110167994e7cd1b20ba6717dc9bf7a0031fedca6b5dd4,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0019,pilot_stage4a7_1_pilot_0019,in_domain_interior,not_applicable,G007,"G007",1,1,1,in_domain,7b57c6140376b7820cb29c985d1551a668515295a28a5dc1ccfc3433ca269e3f,235720dd131c1a4985e5c1ce8d6df069de64416b66c5b5e801562efdd3192347,235720dd131c1a4985e5c1ce8d6df069de64416b66c5b5e801562efdd3192347,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0020,pilot_stage4a7_1_pilot_0020,in_domain_interior,not_applicable,G007,"G007",1,1,1,in_domain,ef25a49009ad36acc2fce32070109d68e82180c7bdcc71bbabb1e082414b7478,b5524f2c30caa11668a596ba0135a6c42d50a2050284a269d71a62793a7e97a0,b5524f2c30caa11668a596ba0135a6c42d50a2050284a269d71a62793a7e97a0,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0021,pilot_stage4a7_1_pilot_0021,symmetry_preserving_nominal,not_applicable,G007,"G004,G007",2,0,1,in_domain,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,ac735ab307f8bb3c695ec53c92aa6230fc7898804d2f47d12e7118ac8bf349ad,ac735ab307f8bb3c695ec53c92aa6230fc7898804d2f47d12e7118ac8bf349ad,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0022,pilot_stage4a7_1_pilot_0022,structure_out,not_applicable,OOG001,"OOG001",1,0,0,not_evaluable,058a33610c9919bb48dd8be388a94a3cbb35f07e77debcc6b11662d626d6d53d,3610dcbde3246daf0421375864a42290bac368857f3af537585d76d43b7ee8ba,3610dcbde3246daf0421375864a42290bac368857f3af537585d76d43b7ee8ba,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0023,pilot_stage4a7_1_pilot_0023,structure_out,not_applicable,OOG002,"OOG002",1,0,0,not_evaluable,acf6a70ba95c16408d43ffc3b0006f09c219148db31b516b5350b68f154e832d,beded75338f5822f6b44c1287ace885e3a8bb7a5db2277d9c7de8eea0da8983c,beded75338f5822f6b44c1287ace885e3a8bb7a5db2277d9c7de8eea0da8983c,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0024,pilot_stage4a7_1_pilot_0024,structure_out,not_applicable,OOG003,"OOG003",1,0,0,not_evaluable,f04183d590583cc58d8c5ba04c3c703538f6207e45bdcb850d1414c160f91b06,ba810a3327deecaaba39ffb425eaaee917effa386bb18508f3e11e8c7a313da0,ba810a3327deecaaba39ffb425eaaee917effa386bb18508f3e11e8c7a313da0,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0025,pilot_stage4a7_1_pilot_0025,parameter_out,near,G001,"G001",1,1,1,out_of_domain,0293d1a8c7294dbcd7c435bd4635b3a388d7570e8222b37ef7f49b2a1d2dddf8,c85e9ca3f3808b0bc4b56a8a47d9533b54e9220b46f31838eedb0ded5604e8dc,c85e9ca3f3808b0bc4b56a8a47d9533b54e9220b46f31838eedb0ded5604e8dc,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0026,pilot_stage4a7_1_pilot_0026,parameter_out,medium,G002,"G002",1,1,1,out_of_domain,dbdb9d37e1f89e85e7a53a997910d3c141f4b6a7bd359f66eb4939998fc4d458,5d49c6616c563afce5b7432479b25703faab10ca844f6da192acbad6f2e66d8e,5d49c6616c563afce5b7432479b25703faab10ca844f6da192acbad6f2e66d8e,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
