candidate_id,candidate_signature,candidate_rank,profile_distance,candidate_p_value,in_candidate_set,is_truth,normalized_confidence_score,best_template_index,best_main_scale,best_branch_load_scale,dataset,scenario,sample,method,observation_seed,calibration_set_id,evidence_set_id,test_set_id
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.21241872724355,0.0476190476190476,0,0,0.0316075397214026,NaN,NaN,NaN,archived_replay,scale_small,scale_small_r01,stage6b_baseline,20766002,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.0850162370145626,0.238095238095238,1,1,0.77833720869412,NaN,NaN,NaN,archived_replay,scale_small,scale_small_r01,stage6b_baseline,20766002,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.141080840557712,0.0476190476190476,0,0,0.190055251584477,NaN,NaN,NaN,archived_replay,scale_small,scale_small_r01,stage6b_baseline,20766002,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.225472785773797,0.0476190476190476,0,0,0.0494762171559206,5,1,0.8,archived_replay,scale_small,scale_small_r01,stage7a_original_reused,20766002,e67d6f7d37633d6d4fbaf645e2d8b193c5d90e48fe6737a367bddd9342064763,6d7a9428d3ff647a69923bd91f04097488f4e4670c878b506d89e14ddc3f4f08,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.118837947456585,0.0476190476190476,0,1,0.679459586256712,41,1,1.2,archived_replay,scale_small,scale_small_r01,stage7a_original_reused,20766002,e67d6f7d37633d6d4fbaf645e2d8b193c5d90e48fe6737a367bddd9342064763,6d7a9428d3ff647a69923bd91f04097488f4e4670c878b506d89e14ddc3f4f08,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.15624195837639,0.0476190476190476,0,0,0.271064196587368,41,1,1.2,archived_replay,scale_small,scale_small_r01,stage7a_original_reused,20766002,e67d6f7d37633d6d4fbaf645e2d8b193c5d90e48fe6737a367bddd9342064763,6d7a9428d3ff647a69923bd91f04097488f4e4670c878b506d89e14ddc3f4f08,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.225472785773797,0.0476190476190476,0,0,0.0325117744395071,5,1,0.8,archived_counterfactual,scale_small,scale_small_r01,matched20_n20,20766002,554e861dfc861aa59bcb0e06aedf3530b0c787b089e571d4e5af9ff7125c2bd0,7baecdbcb3d7c1acba919c6b29cca9c1a311765d05f2ba8bd707614dfb19598a,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.118837947456585,0.0476190476190476,0,1,0.723754957668498,41,1,1.2,archived_counterfactual,scale_small,scale_small_r01,matched20_n20,20766002,554e861dfc861aa59bcb0e06aedf3530b0c787b089e571d4e5af9ff7125c2bd0,7baecdbcb3d7c1acba919c6b29cca9c1a311765d05f2ba8bd707614dfb19598a,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.15624195837639,0.0476190476190476,0,0,0.243733267891995,41,1,1.2,archived_counterfactual,scale_small,scale_small_r01,matched20_n20,20766002,554e861dfc861aa59bcb0e06aedf3530b0c787b089e571d4e5af9ff7125c2bd0,7baecdbcb3d7c1acba919c6b29cca9c1a311765d05f2ba8bd707614dfb19598a,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.225472785773797,0.0099009900990099,0,0,0.0315026494138947,5,1,0.8,archived_counterfactual,scale_small,scale_small_r01,matched20_n100,20766002,6bb3169e022a6c5ebcbc8d5c6c924bb51ac067a353b79dd5a47c9a537b1c84c2,82b0520486f31f0462cdea0136d1ddc3473ce6a9bb249806a184c4673ef478ce,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.118837947456585,0.0495049504950495,0,1,0.726789267998918,41,1,1.2,archived_counterfactual,scale_small,scale_small_r01,matched20_n100,20766002,6bb3169e022a6c5ebcbc8d5c6c924bb51ac067a353b79dd5a47c9a537b1c84c2,82b0520486f31f0462cdea0136d1ddc3473ce6a9bb249806a184c4673ef478ce,db3cc2d4915d68208c17264dfc51e2922439e5b5cffa0ea59f532d875deccb6f
