stage,artifact_role,relative_path,file_size_bytes,sha256,source_tree_hash,configuration_hash,experiment_hash,git_head_at_run,git_dirty_at_run,canonical_eligible,canonical_status,used_for_formal_report,notes
Stage 4A Freeze-R.1.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1_1/freeze_summary_formal.csv,880,e9b4168e1f8e6d4a994f260c245fc1241f94b8c8ba615d6838673ff2bc8f34b6,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1_1/freeze_summary_smoke.csv,877,5dc9d78792a6345c2e8db021ac6123cfd97a082bf5d66ab610f4197eb9837c82,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,freeze_identity_or_summary,results/data/stage4a_freeze_r1_1/historical_artifact_status.csv,540,baf9a60ea34451465cdb0316d62f9c2722421ea731ef6d1cb2aa8644c12d3f7c,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/bootstrap_row_vs_cluster_audit.csv,949,9cb2b1712ace727c4e92e0e6a939927d428a2ea37d6c49710491e8350bd70c45,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/canonical_manifest.csv,14886,79fb679d428cbca94fe6ea18d1484cd6341a50c34b83b6503d83827296ae9fa4,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Manifest excludes itself to avoid a hash cycle.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/category_semantics.csv,415,52f47d1e63d4ae08b2deba42a4e23f72a54a3e7e46791d893d02c5b782ff9ac1,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/method_selection_cluster_bootstrap.csv,1193,5d00b3d2132a94f4564d3c04624bf7f0c1ea3cd8d2dcddfdf9fe2df8c0d0b8a4,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/method_selection_cluster_comparisons.csv,11154,3038f2fed5d63e3abc29a0c6e98b21a3fe7424f01496835e54fb1f840883dc8e,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/source_result_status.csv,841,51640c3226f078df2461e0104e8961014d64ee8f08953116235f2cbe43d384dc,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/summary.csv,647,c2463cb8193a7cad9e561f790e00ed2eeca0106df73886753a832e3a69a477af,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
