sample_id,replicate_id,split,category,outlier_dimension,truth_topology_id,canonical_key,grid_id,scenario_id,truth_graph_in_current_prior,truth_parameter_in_domain,truth_covered,coverage_status,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,truth_is_observationally_nonunique,experiment_scientific_hash,source_tree_hash
final01_final_replication_test_cont_G001_01,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G001_02,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G001_03,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G001_04,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G001_05,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G001_06,final01,final_replication_test,in_library_continuous,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_grid_G001_01,final01,final_replication_test,in_library_grid,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_grid_G001_02,final01,final_replication_test,in_library_grid,,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G001}",1,"{G001}",1,0,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G002_01,final01,final_replication_test,in_library_continuous,,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G002,G005}",2,"{G002,G005}",2,1,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G002_02,final01,final_replication_test,in_library_continuous,,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G002,G005}",2,"{G002,G005}",2,1,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
final01_final_replication_test_cont_G002_03,final01,final_replication_test,in_library_continuous,,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",A_stage4a1_quick61,P0_no_prior,1,1,1,covered,"{G002,G005}",2,"{G002,G005}",2,1,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
