sample_id,physical_scenario_id,category,severity,truth_topology_id,truth_equivalence_set,truth_equivalence_member_count,truth_unique_under_observation,equivalence_evaluable,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,scientific_hash
stage4a7_1_pilot_0001,pilot_stage4a7_1_pilot_0001,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,083ea001ba1bf182751cd0adaa7be50bf06dc8b806b28274435112b44d32b92b,f551021ebf5be58ff6a689f7ec12f40a25935f5b317065f860a7860cd412f60b,f551021ebf5be58ff6a689f7ec12f40a25935f5b317065f860a7860cd412f60b,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,pilot_stage4a7_1_pilot_0002,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,89910316b61da40af9a7ecf2513ca017fe8724cd3e46a1dfbb0fd5b37d63d08b,e6727e1add88794ece6253eaa56b244e123494dbc31501d91ddc30a97da94dfe,e6727e1add88794ece6253eaa56b244e123494dbc31501d91ddc30a97da94dfe,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,pilot_stage4a7_1_pilot_0003,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,38862f60c0e5b3b932e304cf6710ad469c8d1f104ab61c6ea9cdff642462cf42,a1d9a89c91490c0e19dcdcf4001935fa085ec3d9f297f39b0a6a272eaf0d39ac,a1d9a89c91490c0e19dcdcf4001935fa085ec3d9f297f39b0a6a272eaf0d39ac,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,pilot_stage4a7_1_pilot_0004,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,212afa5fb8e006a93a150fb500e95a4e602bd620c6932379859ad6c1b498d324,aed85b88d89365a11a888365d99238972a79ae703f825fb4c099f75218121226,aed85b88d89365a11a888365d99238972a79ae703f825fb4c099f75218121226,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0005,pilot_stage4a7_1_pilot_0005,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,3e68f1a92c1378beb499e147a278dd6a20c03503595793ced9be227827eefbb2,e89f7113a959ef374711bc12c05da66bbaebe6cc8c372992781fceaec523c85b,e89f7113a959ef374711bc12c05da66bbaebe6cc8c372992781fceaec523c85b,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0006,pilot_stage4a7_1_pilot_0006,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,2cdbd65c2ff670e2a1b471b54a7367215df268976b450e4ab2dd8f9115e305ae,b220b3d9839164ef381018709db41aacea0383bbe822a6f02754ede942541403,b220b3d9839164ef381018709db41aacea0383bbe822a6f02754ede942541403,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0007,pilot_stage4a7_1_pilot_0007,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,602d1c6afadddaa0ad0188a05f070a345d54c0c7fab160e51bc5be98c25f21c3,4a043c8a086a6c535ae5fc053d248c9b7dd1c64f1915680e23afd227a22afb18,4a043c8a086a6c535ae5fc053d248c9b7dd1c64f1915680e23afd227a22afb18,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0008,pilot_stage4a7_1_pilot_0008,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,dd50f61cde896a9519ec0a415db8d34cf9c173c01fbcaffd7d2198b0772ffdcc,e9f4e8e58b4258df189527309225bfc868f493ca0790a9b43dff8b5624b159ff,e9f4e8e58b4258df189527309225bfc868f493ca0790a9b43dff8b5624b159ff,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0009,pilot_stage4a7_1_pilot_0009,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,0c5a24399d33b6d707c8f578a5c7a62d45d716b7292668418457146c5f3f0422,1d6e3d76166f42e71e750f4a810c9e27c35c01319235874ee90fe32ac734e049,1d6e3d76166f42e71e750f4a810c9e27c35c01319235874ee90fe32ac734e049,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0010,pilot_stage4a7_1_pilot_0010,in_domain_interior,not_applicable,G001,"G001",1,1,1,in_domain,42c01f53090f4709cbd2758c52b0986c5c9b4b072965f5b1dd4a891d5379fcbf,5ecb9b6d50a0fcc3e2c7ff312f70c1a331b04717bb450773779e985922642b7d,5ecb9b6d50a0fcc3e2c7ff312f70c1a331b04717bb450773779e985922642b7d,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
